Request Name,API URL,Status,Status Code,Request Method,Response Time (ms),Response Size (bytes),Assertions Passed,Assertions Failed,QAA_Result
Merchant Login,https://qa-parrotapiv2.serino.com/api/v1/auth/login,OK,200,POST,5547,4784,1,0,Passed
Employee Login,https://qa-parrotapiv2.serino.com/api/v1/auth/employee-login,OK,200,POST,1415,6959,1,0,Passed
Get Products,https://qa-parrotapiv2.serino.com/api/v1/products?page=1&size=20&sort=createdAt.desc&branch_id=12&name=Otis,OK,200,GET,64,180,1,0,Passed
Get Product by Branch ID and Sku,https://qa-parrotapiv2.serino.com/api/v1/products/branch/12/sku/KJ100001,OK,200,GET,61,2403,1,0,Passed
Get Table by Merchant ID and Branch ID,https://qa-parrotapiv2.serino.com/api/v1/tables/merchant/KJ-0001/branch/12,OK,200,GET,49,1797,1,0,Passed
Update Table Status to Available,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/Popeyes/branch/12,OK,200,PATCH,61,256,1,0,Passed
Create Order,https://qa-parrotapiv2.serino.com/api/v1/orders,Created,201,POST,133,2550,1,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,65,2548,1,0,Passed
Update Table Status to Occupied,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,64,1767,1,0,Passed
Accept & Prepare Order,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/order_status,OK,200,PATCH,126,83,1,0,Passed
Accept & Prepare Item,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/items/5f7aa243-23ce-4164-ad58-618bd70a7f80/item_status,OK,200,PATCH,162,3097,1,0,Passed
Verify if Status is Accepted & Prepared,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,62,3097,1,0,Passed
Ready Order,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/order_status,OK,200,PATCH,122,83,1,0,Passed
Ready Item,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/items/5f7aa243-23ce-4164-ad58-618bd70a7f80/item_status,OK,200,PATCH,159,3589,1,0,Passed
Verify if Status is Readied,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,58,3589,1,0,Passed
Serve Order,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/order_status,OK,200,PATCH,123,83,1,0,Passed
Serve Item,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/items/5f7aa243-23ce-4164-ad58-618bd70a7f80/item_status,OK,200,PATCH,156,4120,1,0,Passed
Verify if Status is Served,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,60,4120,1,0,Passed
Complete Order,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/order_status,OK,200,PATCH,126,83,1,0,Passed
Verify if Order is Completed,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,56,4326,1,0,Passed
Get Promo,https://qa-parrotapiv2.serino.com/api/v1/promos?page=1&size=4&sort=createdAt.desc&promo_type=KJ,OK,200,GET,623,3367,0,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,59,4326,1,0,Passed
Add Order Payment,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/payment-details,Created,201,POST,336,4701,1,0,Passed
Update Payment Status,https://qa-parrotapiv2.serino.com/api/v2/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad/payment_status,OK,200,PATCH,60,83,1,0,Passed
Verify if Order is Paid,https://qa-parrotapiv2.serino.com/api/v1/orders/cfef94e4-0bc9-4b4c-ad46-d941ecef24ad,OK,200,GET,58,4701,1,0,Passed
Update Table Status to ReAvailable,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,60,1768,1,0,Passed
